InstanceSizeFlexibilityGroup,ArmSkuName,Ratio
Dasv4 Series,Standard_D96as_v4,48
Dasv4 Series Dedicated Host,Dasv4_Type1,1
Dasv4 Series Dedicated Host,Dasv4_Type2,1
Dasv5 Internal Series,Internal_D2as_v5,1
Dasv5 Internal Series,Internal_D4as_v5,2
Dasv5 Internal Series,Internal_D8as_v5,4
Dasv5 Internal Series,Internal_D16as_v5,8
Dasv5 Internal Series,Internal_D32as_v5,16
Dasv5 Internal Series,Internal_D48as_v5,24
Dasv5 Internal Series,Internal_D64as_v5,32
Dasv5 Internal Series,Internal_D96as_v5,48
Dasv5 Promo Series,Standard_D2as_v5_Promo,1
Dasv5 Promo Series,Standard_D4as_v5_Promo,2
Dasv5 Promo Series,Standard_D8as_v5_Promo,4
Dasv5 Promo Series,Standard_D16as_v5_Promo,8
Dasv5 Promo Series,Standard_D32as_v5_Promo,16
Dasv5 Promo Series,Standard_D48as_v5_Promo,24
Dasv5 Promo Series,Standard_D64as_v5_Promo,32
Dasv5 Promo Series,Standard_D96as_v5_Promo,48
Dasv5 Series,Standard_D2as_v5,1
Dasv5 Series,Standard_D4as_v5,2
Dasv5 Series,Standard_D8as_v5,4
Dasv5 Series,Standard_D16as_v5,8
Dasv5 Series,Standard_D32as_v5,16
Dasv5 Series,Standard_D48as_v5,24
Dasv5 Series,Standard_D64as_v5,32
Dasv5 Series,Standard_D96as_v5,48
Dasv5 Series DedicatedHost,Dasv5_Type1,1
Dav4 Series,Standard_D2a_v4,1
Dav4 Series,Standard_D4a_v4,2
Dav4 Series,Standard_D8a_v4,4
Dav4 Series,Standard_D16a_v4,8
Dav4 Series,Standard_D32a_v4,16
Dav4 Series,Standard_D48a_v4,24
Dav4 Series,Standard_D64a_v4,32
Dav4 Series,Standard_D96a_v4,48
Ddsv4 Series,Standard_D2ds_v4,1
Ddsv4 Series,Standard_D4ds_v4,2
Ddsv4 Series,Standard_D8ds_v4,4
Ddsv4 Series,Standard_D16ds_v4,8
Ddsv4 Series,Standard_D32ds_v4,16
Ddsv4 Series,Standard_D48ds_v4,24
Ddsv4 Series,Standard_D64ds_v4,32
Ddsv4 Series Dedicated Host,Ddsv4_Type 1,1
Ddsv4 Series Dedicated Host,Ddsv4_Type2,1.1875
Ddsv5 Series,Standard_D2ds_v5,1
Ddsv5 Series,Standard_D4ds_v5,2
Ddsv5 Series,Standard_D8ds_v5,4
Ddsv5 Series,Standard_D16ds_v5,8
Ddsv5 Series,Standard_D32ds_v5,16
Ddsv5 Series,Standard_D48ds_v5,24
Ddsv5 Series,Standard_D64ds_v5,32
Ddsv5 Series,Standard_D96ds_v5,48
Ddsv5 Series DedicatedHost,Ddsv5_Type1,1
Ddv4 Series,Standard_D2d_v4,1
Ddv4 Series,Standard_D4d_v4,2
Ddv4 Series,Standard_D8d_v4,4
Ddv4 Series,Standard_D16d_v4,8
Ddv4 Series,Standard_D32d_v4,16
Ddv4 Series,Standard_D48d_v4,24
Ddv4 Series,Standard_D64d_v4,32
Ddv5 Series,Standard_D2d_v5,1
Ddv5 Series,Standard_D4d_v5,2
Ddv5 Series,Standard_D8d_v5,4
Ddv5 Series,Standard_D16d_v5,8
Ddv5 Series,Standard_D32d_v5,16
Ddv5 Series,Standard_D48d_v5,24
Ddv5 Series,Standard_D64d_v5,32
Ddv5 Series,Standard_D96d_v5,48
Dldsv5 Series,Standard_D2lds_v5,1
Dldsv5 Series,Standard_D4lds_v5,2
Dldsv5 Series,Standard_D8lds_v5,4
Dldsv5 Series,Standard_D16lds_v5,8
Dldsv5 Series,Standard_D32lds_v5,16
Dldsv5 Series,Standard_D48lds_v5,24
Dldsv5 Series,Standard_D64lds_v5,32
Dldsv5 Series,Standard_D96lds_v5,48
Dlsv5 Series,Standard_D2ls_v5,1
Dlsv5 Series,Standard_D4ls_v5,2
Dlsv5 Series,Standard_D8ls_v5,4
