InstanceSizeFlexibilityGroup,ArmSkuName,Ratio
Edsv5 Series,Standard_E8-2ds_v5,4
Edsv5 Series,Standard_E16-4ds_v5,8
Edsv5 Series,Standard_E16-8ds_v5,8
Edsv5 Series,Standard_E16ds_v5,8
Edsv5 Series,Standard_E20ds_v5,10
Edsv5 Series,Standard_E32-8ds_v5,16
Edsv5 Series,Standard_E32-16ds_v5,16
Edsv5 Series,Standard_E32ds_v5,16
Edsv5 Series,Standard_E48ds_v5,24
Edsv5 Series,Standard_E64-32ds_v5,32
Edsv5 Series,Standard_E64-16ds_v5,32
Edsv5 Series,Standard_E64ds_v5,32
Edsv5 Series,Standard_E96-24ds_v5,48
Edsv5 Series,Standard_E96ds_v5,48
Edsv5 Series,Standard_E96-48ds_v5,48
Edsv5 Series DedicatedHost,Edsv5_Type1,1
Edsv5 Series Isolated,Standard_E104ids_v5,1
Edv4 Series,Standard_E2d_v4,1
Edv4 Series,Standard_E4d_v4,2
Edv4 Series,Standard_E8d_v4,4
Edv4 Series,Standard_E16d_v4,8
Edv4 Series,Standard_E20d_v4,10
Edv4 Series,Standard_E32d_v4,16
Edv4 Series,Standard_E48d_v4,24
Edv4 Series,Standard_E64d_v4,32
Edv4 Series Isolated,Standard_E64id_v4_SPECIAL,1
Edv5 Series,Standard_E2d_v5,1
Edv5 Series,Standard_E4d_v5,2
Edv5 Series,Standard_E8d_v5,4
Edv5 Series,Standard_E16d_v5,8
Edv5 Series,Standard_E20d_v5,10
Edv5 Series,Standard_E32d_v5,16
Edv5 Series,Standard_E48d_v5,24
Edv5 Series,Standard_E64d_v5,32
Edv5 Series,Standard_E96d_v5,48
Edv5 Series,Standard_E104id_v5,52
Eiadmsv5-series Linux,Standard_E112_iadms_v5,1
Epdsv5 Series,Standard_E2pds_v5,1
Epdsv5 Series,Standard_E4pds_v5,2
Epdsv5 Series,Standard_E8pds_v5,4
Epdsv5 Series,Standard_E16pds_v5,8
Epdsv5 Series,Standard_E20pds_v5,10
Epdsv5 Series,Standard_E32pds_v5,16
Epsv5 Series,Standard_E2ps_v5,1
Epsv5 Series,Standard_E4ps_v5,2
Epsv5 Series,Standard_E8ps_v5,4
Epsv5 Series,Standard_E16ps_v5,8
Epsv5 Series,Standard_E20ps_v5,10
Epsv5 Series,Standard_E32ps_v5,16
Esv4 Series,Standard_E2s_v4,1
Esv4 Series,Standard_E4-2s_v4,2
Esv4 Series,Standard_E4s_v4,2
Esv4 Series,Standard_E4s_v4_ADHType1,2
Esv4 Series,Standard_E8s_v4,4
Esv4 Series,Standard_E8-2s_v4,4
Esv4 Series,Standard_E8-4s_v4,4
Esv4 Series,Standard_E8s_v4_ADHType1,4
Esv4 Series,Standard_E16-4s_v4,8
Esv4 Series,Standard_E16s_v4_ADHType1,8
Esv4 Series,Standard_E16-8s_v4,8
Esv4 Series,Standard_E16s_v4,8
Esv4 Series,Standard_E20s_v4,10
Esv4 Series,Standard_E32s_v4_ADHType1,16
Esv4 Series,Standard_E32-16s_v4,16
Esv4 Series,Standard_E32s_v4,16
Esv4 Series,Standard_E32-8s_v4,16
Esv4 Series,Standard_E48s_v4,24
Esv4 Series,Standard_E64s_v4,32
Esv4 Series,Standard_E64-32s_v4,32
Esv4 Series,Standard_E64-16s_v4,32
Esv4 Series Isolated,Standard_E64is_v4_SPECIAL,1
Esv4 Series Isolated,Standard_E80is_v4,1.25
Esv5 Series,Standard_E2s_v5,1
Esv5 Series,Standard_E4-2s_v5,2
Esv5 Series,Standard_E4s_v5,2
Esv5 Series,Standard_E8s_v5,4
Esv5 Series,Standard_E8-4s_v5,4
Esv5 Series,Standard_E8-2s_v5,4
Esv5 Series,Standard_E16-4s_v5,8
Esv5 Series,Standard_E16-8s_v5,8
Esv5 Series,Standard_E16s_v5,8
Esv5 Series,Standard_E20s_v5,10
Esv5 Series,Standard_E32s_v5,16
Esv5 Series,Standard_E32-8s_v5,16
Esv5 Series,Standard_E32-16s_v5,16
Esv5 Series,Standard_E48s_v5,24
Esv5 Series,Standard_E64-16s_v5,32
Esv5 Series,Standard_E64-32s_v5,32
Esv5 Series,Standard_E64s_v5,32
Esv5 Series,Standard_E96-24s_v5,48
Esv5 Series,Standard_E96-48s_v5,48
Esv5 Series,Standard_E96s_v5,48
Esv5 Series DedicatedHost,Esv5_Type1,1
Esv5 Series Isolated,Standard_E104is_v5,1
Ev3 Series,Standard_E2_v3,1
Ev3 Series,Standard_E4_v3,2
Ev3 Series,Standard_E8_v3,4
Ev3 Series,Standard_E16_v3,8
Ev3 Series,Standard_E20_v3,10
Ev3 Series,Standard_E32_v3,16
Ev3 Series,Standard_E48_v3,24
Ev3 Series,Standard_E64_v3,28.8
Ev3 Series Isolated,Standard_E64i_v3,1
Ev4 Series,Standard_E2_v4,1
Ev4 Series,Standard_E4_v4,2
Ev4 Series,Standard_E8_v4,4
Ev4 Series,Standard_E16_v4,8
Ev4 Series,Standard_E20_v4,10
Ev4 Series,Standard_E32_v4,16
Ev4 Series,Standard_E48_v4,24
Ev4 Series,Standard_E64_v4,32
Ev4 Series Isolated,Standard_E64i_v4_SPECIAL,1
Ev5 Series,Standard_E2_v5,1
Ev5 Series,Standard_E4_v5,2
Ev5 Series,Standard_E8_v5,4
Ev5 Series,Standard_E16_v5,8
Ev5 Series,Standard_E20_v5,10
Ev5 Series,Standard_E32_v5,16
Ev5 Series,Standard_E48_v5,24
Ev5 Series,Standard_E64_v5,32
Ev5 Series,Standard_E96_v5,48
Ev5 Series,Standard_E104i_v5,52
F Series,Standard_F1,1
F Series,Standard_F2,2
F Series,Standard_F4,4
F Series,Standard_F8,8
F Series,Standard_F16,16
FS Series,Standard_F1s,1
FS Series,Standard_F2s,2
FS Series,Standard_F4s,4
FS Series,Standard_F8s,8
FS Series,Standard_F16s,16
FSv2 Series,Standard_F2s_v2,1
FSv2 Series,Standard_F4s_v2,2
FSv2 Series,Standard_F8s_v2,4
FSv2 Series,Standard_F16s_v2,8
FSv2 Series,Standard_F32s_v2,16
FSv2 Series,Standard_F48s_v2,24
FSv2 Series,Standard_F64s_v2,32
FSv2 Series,Standard_F72s_v2,36
FSv2 Series,Standard_F72fs_v2,36
FSv2 Series Dedicated Host,Fsv2_Type2,1
FSv2 Series Dedicated Host,Fsv2 Type3,1.277777778
FSv2 Series Dedicated Host,Fsv2_Type4,1.388888889
FX Series Dedicated Host,FXmds Type1,1
FX Series Linux,Standard_FX4mds,1
FX Series Linux,Standard_FX12mds,3
FX Series Linux,Standard_FX24mds,6
FX Series Linux,Standard_FX36mds,9
FX Series Linux,Standard_FX48mds,12
FabCap_CuHour_AE Central,eventstream Data Traffic per GB,1
FabCap_CuHour_AE Central,Available,1
FabCap_CuHour_AE Central,Data Warehouse,1
FabCap_CuHour_AE Central,OneLake Iterative Write Operations via API,1
FabCap_CuHour_AE Central,eventstream,1
FabCap_CuHour_AE Central,eventstreams Processor,1
FabCap_CuHour_AE Central,Data Activator,1
FabCap_CuHour_AE Central,OneLake Other Operations,1
FabCap_CuHour_AE Central,OneLake Write Operations via API,1
FabCap_CuHour_AE Central,Spark Mem Op,1
FabCap_CuHour_AE Central,Fabric_Capacity_CU_Hour,1
FabCap_CuHour_AE Central,Power BI,1
FabCap_CuHour_AE Central,OneLake Iterative Write Operations,1
FabCap_CuHour_AE Central,Data Movement,1
FabCap_CuHour_AE Central,Data Orchestration,1
FabCap_CuHour_AE Central,KQL Database,1
FabCap_CuHour_AE Central,High Scale DF Comp,1
FabCap_CuHour_AE Central,AI and Machine Learning,1
FabCap_CuHour_AE Central,Dataflows Standard Comp,1
FabCap_CuHour_AE Central,OneLake Read Operations,1
FabCap_CuHour_AE Central,OneLake Iterative Read Operations,1
FabCap_CuHour_AE Central,OneLake Read Operations via API,1
FabCap_CuHour_AE Central,OneLake Iterative Read Operations via API,1
FabCap_CuHour_AE Central,OneLake Write Operations,1
FabCap_CuHour_AE North,Data Warehouse,1
FabCap_CuHour_AE North,Data Movement,1
FabCap_CuHour_AE North,Data Orchestration,1
FabCap_CuHour_AE North,Fabric_Capacity_CU_Hour,1
FabCap_CuHour_AE North,AI and Machine Learning,1
FabCap_CuHour_AE North,Available,1
FabCap_CuHour_AE North,OneLake Other Operations,1
FabCap_CuHour_AE North,OneLake Write Operations,1
FabCap_CuHour_AE North,eventstream,1
FabCap_CuHour_AE North,OneLake Iterative Write Operations via API,1
FabCap_CuHour_AE North,Spark Mem Op,1
FabCap_CuHour_AE North,High Scale DF Comp,1
FabCap_CuHour_AE North,KQL Database,1
FabCap_CuHour_AE North,Power BI,1
FabCap_CuHour_AE North,eventstreams Processor,1
FabCap_CuHour_AE North,Data Activator,1
FabCap_CuHour_AE North,eventstream Data Traffic per GB,1
FabCap_CuHour_AE North,OneLake Write Operations via API,1
FabCap_CuHour_AE North,OneLake Iterative Write Operations,1
FabCap_CuHour_AE North,OneLake Iterative Read Operations via API,1
FabCap_CuHour_AE North,OneLake Read Operations via API,1
FabCap_CuHour_AE North,OneLake Iterative Read Operations,1
FabCap_CuHour_AE North,OneLake Read Operations,1
FabCap_CuHour_AE North,Dataflows Standard Comp,1
FabCap_CuHour_AP East,AI and Machine Learning,1
FabCap_CuHour_AP East,OneLake Iterative Read Operations,1
FabCap_CuHour_AP East,OneLake Iterative Read Operations via API,1
FabCap_CuHour_AP East,OneLake Read Operations via API,1
FabCap_CuHour_AP East,Spark Mem Op,1
FabCap_CuHour_AP East,OneLake Read Operations,1
FabCap_CuHour_AP East,High Scale DF Comp,1
FabCap_CuHour_AP East,Available,1
FabCap_CuHour_AP East,Data Orchestration,1
FabCap_CuHour_AP East,Data Movement,1
FabCap_CuHour_AP East,Data Warehouse,1
FabCap_CuHour_AP East,Power BI,1
FabCap_CuHour_AP East,OneLake Iterative Write Operations via API,1
FabCap_CuHour_AP East,Fabric_Capacity_CU_Hour,1
FabCap_CuHour_AP East,KQL Database,1
FabCap_CuHour_AP East,eventstream,1
FabCap_CuHour_AP East,eventstreams Processor,1
FabCap_CuHour_AP East,Data Activator,1
FabCap_CuHour_AP East,OneLake Write Operations,1
FabCap_CuHour_AP East,eventstream Data Traffic per GB,1
FabCap_CuHour_AP East,OneLake Write Operations via API,1
FabCap_CuHour_AP East,OneLake Iterative Write Operations,1
FabCap_CuHour_AP East,OneLake Other Operations,1
FabCap_CuHour_AP East,Dataflows Standard Comp,1
FabCap_CuHour_AP Southeast,Fabric_Capacity_CU_Hour,1
FabCap_CuHour_AP Southeast,AI and Machine Learning,1
FabCap_CuHour_AP Southeast,Dataflows Standard Comp,1
FabCap_CuHour_AP Southeast,OneLake Iterative Read Operations,1
FabCap_CuHour_AP Southeast,OneLake Read Operations via API,1
FabCap_CuHour_AP Southeast,OneLake Read Operations,1
FabCap_CuHour_AP Southeast,OneLake Write Operations,1
FabCap_CuHour_AP Southeast,OneLake Iterative Write Operations,1
FabCap_CuHour_AP Southeast,OneLake Write Operations via API,1
FabCap_CuHour_AP Southeast,OneLake Iterative Read Operations via API,1
FabCap_CuHour_AP Southeast,eventstream Data Traffic per GB,1
FabCap_CuHour_AP Southeast,Data Activator,1
FabCap_CuHour_AP Southeast,eventstreams Processor,1
FabCap_CuHour_AP Southeast,eventstream,1
FabCap_CuHour_AP Southeast,OneLake Iterative Write Operations via API,1
FabCap_CuHour_AP Southeast,High Scale DF Comp,1
FabCap_CuHour_AP Southeast,Available,1
FabCap_CuHour_AP Southeast,Data Orchestration,1
FabCap_CuHour_AP Southeast,Power BI,1
FabCap_CuHour_AP Southeast,OneLake Other Operations,1
FabCap_CuHour_AP Southeast,Data Movement,1
FabCap_CuHour_AP Southeast,Data Warehouse,1
FabCap_CuHour_AP Southeast,Spark Mem Op,1
FabCap_CuHour_AP Southeast,KQL Database,1
FabCap_CuHour_AU Central,Data Warehouse,1
FabCap_CuHour_AU Central,Spark Mem Op,1
FabCap_CuHour_AU Central,OneLake Read Operations via API,1
FabCap_CuHour_AU Central,OneLake Iterative Read Operations via API,1
FabCap_CuHour_AU Central,AI and Machine Learning,1
FabCap_CuHour_AU Central,eventstream,1
FabCap_CuHour_AU Central,Data Movement,1
FabCap_CuHour_AU Central,OneLake Iterative Write Operations via API,1
FabCap_CuHour_AU Central,eventstreams Processor,1
FabCap_CuHour_AU Central,OneLake Iterative Read Operations,1
FabCap_CuHour_AU Central,Data Activator,1
FabCap_CuHour_AU Central,Fabric_Capacity_CU_Hour,1
FabCap_CuHour_AU Central,eventstream Data Traffic per GB,1
FabCap_CuHour_AU Central,KQL Database,1
FabCap_CuHour_AU Central,High Scale DF Comp,1
FabCap_CuHour_AU Central,Power BI,1
FabCap_CuHour_AU Central,OneLake Other Operations,1
FabCap_CuHour_AU Central,Data Orchestration,1
FabCap_CuHour_AU Central,Dataflows Standard Comp,1
FabCap_CuHour_AU Central,OneLake Iterative Write Operations,1
FabCap_CuHour_AU Central,OneLake Read Operations,1
FabCap_CuHour_AU Central,OneLake Write Operations via API,1
FabCap_CuHour_AU Central,OneLake Write Operations,1
FabCap_CuHour_AU Central,Available,1
FabCap_CuHour_AU Central 2,OneLake Iterative Read Operations via API,1
FabCap_CuHour_AU Central 2,OneLake Read Operations via API,1
FabCap_CuHour_AU Central 2,OneLake Read Operations,1
FabCap_CuHour_AU Central 2,AI and Machine Learning,1
FabCap_CuHour_AU Central 2,Dataflows Standard Comp,1
FabCap_CuHour_AU Central 2,OneLake Write Operations,1
FabCap_CuHour_AU Central 2,OneLake Iterative Read Operations,1
FabCap_CuHour_AU Central 2,eventstream Data Traffic per GB,1
FabCap_CuHour_AU Central 2,Data Activator,1
FabCap_CuHour_AU Central 2,Fabric_Capacity_CU_Hour,1
FabCap_CuHour_AU Central 2,Data Warehouse,1
FabCap_CuHour_AU Central 2,Spark Mem Op,1
FabCap_CuHour_AU Central 2,OneLake Iterative Write Operations via API,1
FabCap_CuHour_AU Central 2,Data Movement,1
FabCap_CuHour_AU Central 2,Data Orchestration,1
FabCap_CuHour_AU Central 2,OneLake Other Operations,1
FabCap_CuHour_AU Central 2,eventstreams Processor,1
FabCap_CuHour_AU Central 2,OneLake Write Operations via API,1
FabCap_CuHour_AU Central 2,High Scale DF Comp,1
FabCap_CuHour_AU Central 2,KQL Database,1
FabCap_CuHour_AU Central 2,Power BI,1
FabCap_CuHour_AU Central 2,Available,1
FabCap_CuHour_AU Central 2,eventstream,1
FabCap_CuHour_AU Central 2,OneLake Iterative Write Operations,1
FabCap_CuHour_AU East,KQL Database,1
FabCap_CuHour_AU East,Available,1
FabCap_CuHour_AU East,OneLake Other Operations,1
FabCap_CuHour_AU East,Power BI,1
FabCap_CuHour_AU East,Spark Mem Op,1
FabCap_CuHour_AU East,Data Warehouse,1
FabCap_CuHour_AU East,Data Movement,1
FabCap_CuHour_AU East,Fabric_Capacity_CU_Hour,1
FabCap_CuHour_AU East,Data Orchestration,1
FabCap_CuHour_AU East,AI and Machine Learning,1
FabCap_CuHour_AU East,Dataflows Standard Comp,1
FabCap_CuHour_AU East,OneLake Read Operations,1
FabCap_CuHour_AU East,OneLake Iterative Read Operations,1
FabCap_CuHour_AU East,OneLake Iterative Read Operations via API,1
FabCap_CuHour_AU East,OneLake Read Operations via API,1
FabCap_CuHour_AU East,OneLake Write Operations,1
FabCap_CuHour_AU East,eventstream Data Traffic per GB,1
FabCap_CuHour_AU East,OneLake Iterative Write Operations,1
FabCap_CuHour_AU East,Data Activator,1
FabCap_CuHour_AU East,eventstreams Processor,1
FabCap_CuHour_AU East,eventstream,1
FabCap_CuHour_AU East,OneLake Iterative Write Operations via API,1
FabCap_CuHour_AU East,OneLake Write Operations via API,1
FabCap_CuHour_AU East,High Scale DF Comp,1
FabCap_CuHour_AU Southeast,OneLake Iterative Write Operations,1
FabCap_CuHour_AU Southeast,eventstream Data Traffic per GB,1
FabCap_CuHour_AU Southeast,eventstreams Processor,1
FabCap_CuHour_AU Southeast,eventstream,1
FabCap_CuHour_AU Southeast,OneLake Iterative Write Operations via API,1
FabCap_CuHour_AU Southeast,Data Activator,1
FabCap_CuHour_AU Southeast,KQL Database,1
FabCap_CuHour_AU Southeast,Available,1
FabCap_CuHour_AU Southeast,Power BI,1
FabCap_CuHour_AU Southeast,OneLake Other Operations,1
FabCap_CuHour_AU Southeast,OneLake Iterative Read Operations,1
FabCap_CuHour_AU Southeast,OneLake Read Operations via API,1
FabCap_CuHour_AU Southeast,OneLake Write Operations via API,1
FabCap_CuHour_AU Southeast,Fabric_Capacity_CU_Hour,1
FabCap_CuHour_AU Southeast,Spark Mem Op,1
FabCap_CuHour_AU Southeast,Data Warehouse,1
FabCap_CuHour_AU Southeast,Data Orchestration,1
FabCap_CuHour_AU Southeast,High Scale DF Comp,1
FabCap_CuHour_AU Southeast,AI and Machine Learning,1
FabCap_CuHour_AU Southeast,Dataflows Standard Comp,1
FabCap_CuHour_AU Southeast,OneLake Read Operations,1
FabCap_CuHour_AU Southeast,Data Movement,1
FabCap_CuHour_AU Southeast,OneLake Iterative Read Operations via API,1
FabCap_CuHour_AU Southeast,OneLake Write Operations,1
FabCap_CuHour_BR South,eventstreams Processor,1
FabCap_CuHour_BR South,Fabric_Capacity_CU_Hour,1
FabCap_CuHour_BR South,OneLake Write Operations via API,1
FabCap_CuHour_BR South,eventstream Data Traffic per GB,1
FabCap_CuHour_BR South,OneLake Write Operations,1
FabCap_CuHour_BR South,eventstream,1
FabCap_CuHour_BR South,OneLake Iterative Write Operations via API,1
FabCap_CuHour_BR South,Data Activator,1
FabCap_CuHour_BR South,Available,1
FabCap_CuHour_BR South,Spark Mem Op,1
FabCap_CuHour_BR South,OneLake Other Operations,1
FabCap_CuHour_BR South,KQL Database,1
FabCap_CuHour_BR South,Power BI,1
FabCap_CuHour_BR South,High Scale DF Comp,1
FabCap_CuHour_BR South,Data Orchestration,1
FabCap_CuHour_BR South,Data Movement,1
FabCap_CuHour_BR South,Data Warehouse,1
FabCap_CuHour_BR South,OneLake Read Operations,1
FabCap_CuHour_BR South,OneLake Iterative Write Operations,1
FabCap_CuHour_BR South,OneLake Iterative Read Operations via API,1
FabCap_CuHour_BR South,OneLake Read Operations via API,1
FabCap_CuHour_BR South,OneLake Iterative Read Operations,1
FabCap_CuHour_BR South,Dataflows Standard Comp,1
FabCap_CuHour_BR South,AI and Machine Learning,1
FabCap_CuHour_BR Southeast,OneLake Iterative Write Operations,1
FabCap_CuHour_BR Southeast,eventstreams Processor,1
FabCap_CuHour_BR Southeast,OneLake Iterative Write Operations via API,1
FabCap_CuHour_BR Southeast,eventstream,1
FabCap_CuHour_BR Southeast,eventstream Data Traffic per GB,1
FabCap_CuHour_BR Southeast,Data Activator,1
FabCap_CuHour_BR Southeast,Spark Mem Op,1
FabCap_CuHour_BR Southeast,OneLake Write Operations,1
FabCap_CuHour_BR Southeast,OneLake Read Operations via API,1
FabCap_CuHour_BR Southeast,OneLake Read Operations,1
FabCap_CuHour_BR Southeast,OneLake Write Operations via API,1
FabCap_CuHour_BR Southeast,Fabric_Capacity_CU_Hour,1
FabCap_CuHour_BR Southeast,Power BI,1
FabCap_CuHour_BR Southeast,Data Movement,1
FabCap_CuHour_BR Southeast,KQL Database,1
FabCap_CuHour_BR Southeast,Data Orchestration,1
FabCap_CuHour_BR Southeast,Available,1
FabCap_CuHour_BR Southeast,OneLake Other Operations,1
FabCap_CuHour_BR Southeast,High Scale DF Comp,1
FabCap_CuHour_BR Southeast,AI and Machine Learning,1
FabCap_CuHour_BR Southeast,Dataflows Standard Comp,1
FabCap_CuHour_BR Southeast,OneLake Iterative Read Operations,1
FabCap_CuHour_BR Southeast,OneLake Iterative Read Operations via API,1
FabCap_CuHour_BR Southeast,Data Warehouse,1
FabCap_CuHour_CA Central,Dataflows Standard Comp,1
FabCap_CuHour_CA Central,OneLake Read Operations,1
FabCap_CuHour_CA Central,OneLake Iterative Read Operations,1
FabCap_CuHour_CA Central,Fabric_Capacity_CU_Hour,1
FabCap_CuHour_CA Central,Available,1
FabCap_CuHour_CA Central,AI and Machine Learning,1
FabCap_CuHour_CA Central,Data Warehouse,1
FabCap_CuHour_CA Central,Data Movement,1
FabCap_CuHour_CA Central,Data Orchestration,1
FabCap_CuHour_CA Central,Spark Mem Op,1
FabCap_CuHour_CA Central,eventstreams Processor,1
FabCap_CuHour_CA Central,OneLake Iterative Write Operations via API,1
FabCap_CuHour_CA Central,Data Activator,1
FabCap_CuHour_CA Central,OneLake Iterative Write Operations,1
FabCap_CuHour_CA Central,OneLake Write Operations via API,1
FabCap_CuHour_CA Central,eventstream,1
FabCap_CuHour_CA Central,OneLake Write Operations,1
FabCap_CuHour_CA Central,OneLake Other Operations,1
FabCap_CuHour_CA Central,OneLake Read Operations via API,1
FabCap_CuHour_CA Central,OneLake Iterative Read Operations via API,1
FabCap_CuHour_CA Central,High Scale DF Comp,1
FabCap_CuHour_CA Central,KQL Database,1
FabCap_CuHour_CA Central,Power BI,1
FabCap_CuHour_CA Central,eventstream Data Traffic per GB,1
FabCap_CuHour_CA East,OneLake Read Operations via API,1
FabCap_CuHour_CA East,OneLake Iterative Read Operations via API,1
FabCap_CuHour_CA East,OneLake Iterative Read Operations,1
FabCap_CuHour_CA East,AI and Machine Learning,1
FabCap_CuHour_CA East,Dataflows Standard Comp,1
FabCap_CuHour_CA East,Data Activator,1
FabCap_CuHour_CA East,Power BI,1
FabCap_CuHour_CA East,Available,1
FabCap_CuHour_CA East,Data Movement,1
FabCap_CuHour_CA East,OneLake Other Operations,1
FabCap_CuHour_CA East,Fabric_Capacity_CU_Hour,1
FabCap_CuHour_CA East,High Scale DF Comp,1
FabCap_CuHour_CA East,KQL Database,1
FabCap_CuHour_CA East,Data Orchestration,1
FabCap_CuHour_CA East,Data Warehouse,1
FabCap_CuHour_CA East,Spark Mem Op,1
FabCap_CuHour_CA East,OneLake Iterative Write Operations via API,1
FabCap_CuHour_CA East,eventstreams Processor,1
FabCap_CuHour_CA East,eventstream,1
FabCap_CuHour_CA East,eventstream Data Traffic per GB,1
FabCap_CuHour_CA East,OneLake Write Operations,1
FabCap_CuHour_CA East,OneLake Write Operations via API,1
FabCap_CuHour_CA East,OneLake Iterative Write Operations,1
FabCap_CuHour_CA East,OneLake Read Operations,1
FabCap_CuHour_CH North,KQL Database,1
FabCap_CuHour_CH North,eventstream,1
FabCap_CuHour_CH North,eventstreams Processor,1
FabCap_CuHour_CH North,OneLake Iterative Write Operations via API,1
FabCap_CuHour_CH North,Dataflows Standard Comp,1
FabCap_CuHour_CH North,Fabric_Capacity_CU_Hour,1
FabCap_CuHour_CH North,Available,1
FabCap_CuHour_CH North,Data Orchestration,1
FabCap_CuHour_CH North,Spark Mem Op,1
FabCap_CuHour_CH North,Data Movement,1
FabCap_CuHour_CH North,OneLake Other Operations,1
FabCap_CuHour_CH North,High Scale DF Comp,1
FabCap_CuHour_CH North,AI and Machine Learning,1
FabCap_CuHour_CH North,Power BI,1
FabCap_CuHour_CH North,Data Warehouse,1
FabCap_CuHour_CH North,OneLake Iterative Read Operations,1
FabCap_CuHour_CH North,OneLake Write Operations,1
FabCap_CuHour_CH North,OneLake Read Operations via API,1
FabCap_CuHour_CH North,OneLake Iterative Write Operations,1
FabCap_CuHour_CH North,OneLake Write Operations via API,1
FabCap_CuHour_CH North,OneLake Read Operations,1
FabCap_CuHour_CH North,OneLake Iterative Read Operations via API,1
FabCap_CuHour_CH North,eventstream Data Traffic per GB,1
FabCap_CuHour_CH North,Data Activator,1
FabCap_CuHour_CH West,Power BI,1
FabCap_CuHour_CH West,Data Warehouse,1
FabCap_CuHour_CH West,Spark Mem Op,1
FabCap_CuHour_CH West,Fabric_Capacity_CU_Hour,1
FabCap_CuHour_CH West,Available,1
FabCap_CuHour_CH West,Data Orchestration,1
FabCap_CuHour_CH West,Data Activator,1
FabCap_CuHour_CH West,OneLake Read Operations via API,1
FabCap_CuHour_CH West,eventstreams Processor,1
FabCap_CuHour_CH West,OneLake Iterative Write Operations,1
FabCap_CuHour_CH West,OneLake Write Operations,1
FabCap_CuHour_CH West,OneLake Iterative Read Operations via API,1
FabCap_CuHour_CH West,OneLake Iterative Read Operations,1
FabCap_CuHour_CH West,OneLake Read Operations,1
FabCap_CuHour_CH West,AI and Machine Learning,1
FabCap_CuHour_CH West,Dataflows Standard Comp,1
FabCap_CuHour_CH West,OneLake Write Operations via API,1
FabCap_CuHour_CH West,eventstream,1
FabCap_CuHour_CH West,OneLake Iterative Write Operations via API,1
FabCap_CuHour_CH West,eventstream Data Traffic per GB,1
FabCap_CuHour_CH West,Data Movement,1
FabCap_CuHour_CH West,OneLake Other Operations,1
FabCap_CuHour_CH West,KQL Database,1
FabCap_CuHour_CH West,High Scale DF Comp,1
FabCap_CuHour_Central US EUAP,eventstreams Processor,1
FabCap_CuHour_Central US EUAP,OneLake Iterative Read Operations via API,1
FabCap_CuHour_Central US EUAP,eventstream Data Traffic per GB,1
FabCap_CuHour_Central US EUAP,Data Activator,1
FabCap_CuHour_Central US EUAP,OneLake Iterative Write Operations via API,1
FabCap_CuHour_Central US EUAP,eventstream,1
FabCap_CuHour_Central US EUAP,OneLake Iterative Write Operations,1
FabCap_CuHour_Central US EUAP,OneLake Write Operations,1
FabCap_CuHour_Central US EUAP,OneLake Write Operations via API,1
FabCap_CuHour_Central US EUAP,OneLake Read Operations,1
FabCap_CuHour_Central US EUAP,OneLake Read Operations via API,1
FabCap_CuHour_Central US EUAP,AI and Machine Learning,1
FabCap_CuHour_Central US EUAP,Dataflows Standard Comp,1
FabCap_CuHour_Central US EUAP,Spark Mem Op,1
FabCap_CuHour_Central US EUAP,Data Warehouse,1
FabCap_CuHour_Central US EUAP,Data Movement,1
FabCap_CuHour_Central US EUAP,Data Orchestration,1
FabCap_CuHour_Central US EUAP,Available,1
FabCap_CuHour_Central US EUAP,OneLake Other Operations,1
FabCap_CuHour_Central US EUAP,KQL Database,1
FabCap_CuHour_Central US EUAP,Power BI,1
FabCap_CuHour_Central US EUAP,High Scale DF Comp,1
FabCap_CuHour_Central US EUAP,OneLake Iterative Read Operations,1
FabCap_CuHour_DE North,OneLake Iterative Read Operations via API,1
FabCap_CuHour_DE North,OneLake Write Operations via API,1
FabCap_CuHour_DE North,eventstream Data Traffic per GB,1
FabCap_CuHour_DE North,OneLake Iterative Write Operations,1
FabCap_CuHour_DE North,Data Activator,1
FabCap_CuHour_DE North,Data Orchestration,1
FabCap_CuHour_DE North,Fabric_Capacity_CU_Hour,1
FabCap_CuHour_DE North,OneLake Read Operations,1
FabCap_CuHour_DE North,eventstreams Processor,1
FabCap_CuHour_DE North,OneLake Write Operations,1
FabCap_CuHour_DE North,OneLake Iterative Write Operations via API,1
FabCap_CuHour_DE North,OneLake Iterative Read Operations,1
FabCap_CuHour_DE North,Dataflows Standard Comp,1
FabCap_CuHour_DE North,High Scale DF Comp,1
FabCap_CuHour_DE North,eventstream,1
FabCap_CuHour_DE North,Power BI,1
FabCap_CuHour_DE North,KQL Database,1
FabCap_CuHour_DE North,OneLake Other Operations,1
FabCap_CuHour_DE North,Data Movement,1
FabCap_CuHour_DE North,AI and Machine Learning,1
FabCap_CuHour_DE North,Available,1
FabCap_CuHour_DE North,Spark Mem Op,1
FabCap_CuHour_DE North,OneLake Read Operations via API,1
FabCap_CuHour_DE North,Data Warehouse,1
FabCap_CuHour_DE West Central,Data Movement,1
FabCap_CuHour_DE West Central,Data Orchestration,1
FabCap_CuHour_DE West Central,High Scale DF Comp,1
FabCap_CuHour_DE West Central,Power BI,1
FabCap_CuHour_DE West Central,OneLake Other Operations,1
FabCap_CuHour_DE West Central,KQL Database,1
FabCap_CuHour_DE West Central,Data Warehouse,1
FabCap_CuHour_DE West Central,Spark Mem Op,1
